No,S0,S1,S2,S3,DOP_calculated,Azimuth_original [°],PER_original [dB],Intensity_original [%],Timestamp,DOP [%],Azimuth_calculated [°],Ellipticity_angle [°],Ellipticity_ratio,Linear_DOP [%],Circular_DOP [%]
1,0.078,0.01767195923333335,0.018818725190129046,0.055607807932643825,0.7859999999999998,23.4,2.7,7.8,"28.05.2025, 19:33:12",78.59999999999998,23.4,32.54861657318838,0.6382638043306614,33.09685746274003,71.29206145210748
2,0.077,0.017510136805332584,0.018516450507295997,0.05489488731812275,0.7859999999999998,23.3,2.7,7.7,"28.05.2025, 19:33:13",78.59999999999998,23.300000000000008,32.54861657188119,0.6382638042985523,33.09685746274003,71.29206145210748
3,0.078,0.01767195923333335,0.018818725190129046,0.055607807932643825,0.7859999999999998,23.4,2.7,7.8,"28.05.2025, 19:33:14",78.59999999999998,23.4,32.54861657318838,0.6382638043306614,33.09685746274003,71.29206145210748
4,0.077,0.017510136805332584,0.018516450507295997,0.05489488731812275,0.7859999999999998,23.3,2.7,7.7,"28.05.2025, 19:33:15",78.59999999999998,23.300000000000008,32.54861657188119,0.6382638042985523,33.09685746274003,71.29206145210748
5,0.078,0.01767195923333335,0.018818725190129046,0.055607807932643825,0.7859999999999998,23.4,2.7,7.8,"28.05.2025, 19:33:16",78.59999999999998,23.4,32.54861657318838,0.6382638043306614,33.09685746274003,71.29206145210748
6,0.078,0.01778025699027583,0.018671109191215046,0.05553706008540128,0.785,23.2,2.7,7.8,"28.05.2025, 19:33:17",78.5,23.2,32.54861657306016,0.6382638043275117,33.05474950159151,71.20135908384779
7,0.078,0.017802906999180638,0.018694894043687932,0.055607807932643825,0.7859999999999998,23.2,2.7,7.8,"28.05.2025, 19:33:18",78.59999999999998,23.2,32.54861657318838,0.6382638043306614,33.09685746274004,71.29206145210748
8,0.077,0.017487859277590435,0.0184928926822231,0.0548250464945628,0.785,23.3,2.7,7.7,"28.05.2025, 19:33:19",78.5,23.300000000000004,32.5486165717513,0.6382638042953618,33.054749501591516,71.20135908384779
9,0.077,0.017574664601755247,0.018455215914922697,0.05489488731812275,0.7859999999999998,23.2,2.7,7.7,"28.05.2025, 19:33:20",78.59999999999998,23.2,32.54861657188119,0.6382638042985523,33.09685746274003,71.29206145210748
10,0.077,0.017532414333074745,0.018540008332368893,0.05496472814168271,0.787,23.3,2.7,7.7,"28.05.2025, 19:33:21",78.7,23.3,32.54861657201075,0.6382638043017348,33.138965423888564,71.38276382036716
11,0.077,0.01744539565341882,0.01857745948256329,0.05489488731812275,0.7859999999999998,23.4,2.7,7.7,"28.05.2025, 19:33:22",78.59999999999998,23.4,32.54861657188119,0.6382638042985523,33.09685746274003,71.29206145210748
12,0.077,0.017574664601755247,0.018455215914922697,0.05489488731812275,0.7859999999999998,23.2,2.7,7.7,"28.05.2025, 19:33:23",78.59999999999998,23.2,32.54861657188119,0.6382638042985523,33.09685746274003,71.29206145210748
